,organizationId,platform,title,description,proposer,proposalCreatedAt,proposalNativeId,endedAt,status,totalVotes,choicesMappedToScores,proposalUrl,proposerProfilePageUrl
0,26f16041-06c8-4637-8639-25d735dfb1f1,ARAGON,Create a new payment of 120000 USDC to 0x7862a4314508a9De68FC5e71876D46a1bf4AE032 for 'https://arweave.net/Fv-kTn_7a4cDauQ_t_qi83TSSgXZaoogWcvmXJoo0Rc',,0x244265a76901b8030b140a2996e6dd4703cbf20f,2022-11-15T20:44:47.000Z,appAddress:0xf483c1f7858dd19915d0689d26cb3487fc90b640-vote:0x1a,,ACTIVE,5,,https://deepdao.io/feed-proposal/appAddress:0xf483c1f7858dd19915d0689d26cb3487fc90b640-vote:0x1a,https://deepdao.io/user/0x244265a76901b8030b140a2996e6dd4703cbf20f/verified_dao_experience
1,cafed367-4074-444e-84d6-039f8a481729,SNAPSHOT,ens3位数字能超过朋克吗？,3位数字ens大涨。,0x199b657b729a9ccaaeca584e1723ca6c0e7b46b9,2022-05-08T09:12:42.000Z,0x1415a7292ff8fe9da73faef376945d564cb51e1fe1b3fd4535cd9aef60ee3d52,2022-12-31T04:00:00.000Z,ACTIVE,5,"{""能"":""["",""不能"":""1""}",https://deepdao.io/feed-proposal/0x1415a7292ff8fe9da73faef376945d564cb51e1fe1b3fd4535cd9aef60ee3d52,https://deepdao.io/user/0x199b657b729a9ccaaeca584e1723ca6c0e7b46b9/verified_dao_experience
2,8af61b96-27ac-4da6-9a21-a894889e3a6e,,,,26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc,2022-08-14T02:23:36.404Z,acala_636f756e-00000122,2022-08-14T07:05:42.404Z,ACTIVE,5,,https://deepdao.io/feed-proposal/acala_636f756e-00000122,https://deepdao.io/user/26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc/verified_dao_experience
3,8af61b96-27ac-4da6-9a21-a894889e3a6e,,"Update parameters related to risk management of CDP under specific
collateral type

The dispatch origin of this call must be `UpdateOrigin`.

- `currency_id`: collateral type.
- `interest_rate_per_sec`: extra interest rate per sec, `None` means do not update,
  `Some(None)` means update it to `None`.
- `liquidation_ratio`: liquidation ratio, `None` means do not update, `Some(None)` means
  update it to `None`.
- `liquidation_penalty`: liquidation penalty, `None` means do not update, `Some(None)`
  means update it to `None`.
- `required_collateral_ratio`: required collateral ratio, `None` means do not update,
  `Some(None)` means update it to `None`.
- `maximum_total_debit_value`: maximum total debit value.",,26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc,2022-05-12T07:37:18.369Z,acala_636f756e-00000037,2022-05-12T08:11:12.510Z,ACTIVE,5,,https://deepdao.io/feed-proposal/acala_636f756e-00000037,https://deepdao.io/user/26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc/verified_dao_experience
4,8af61b96-27ac-4da6-9a21-a894889e3a6e,,"Update parameters related to risk management of CDP under specific
collateral type

The dispatch origin of this call must be `UpdateOrigin`.

- `currency_id`: collateral type.
- `interest_rate_per_sec`: extra interest rate per sec, `None` means do not update,
  `Some(None)` means update it to `None`.
- `liquidation_ratio`: liquidation ratio, `None` means do not update, `Some(None)` means
  update it to `None`.
- `liquidation_penalty`: liquidation penalty, `None` means do not update, `Some(None)`
  means update it to `None`.
- `required_collateral_ratio`: required collateral ratio, `None` means do not update,
  `Some(None)` means update it to `None`.
- `maximum_total_debit_value`: maximum total debit value.",,26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc,2022-05-12T07:43:30.414Z,acala_636f756e-00000038,2022-05-12T08:11:24.254Z,ACTIVE,5,,https://deepdao.io/feed-proposal/acala_636f756e-00000038,https://deepdao.io/user/26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc/verified_dao_experience
5,c84cd1ca-1b59-4ac7-ba68-0f3763e60998,,"Approve a bounty proposal. At a later time, the bounty will be funded and become active
and the original deposit will be returned.

May only be called from `T::ApproveOrigin`.

# <weight>
- O(1).
# </weight>",,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL,2022-03-17T12:31:42.003Z,polkadot_636f756e-00000174,2022-03-24T13:43:30.003Z,ACTIVE,5,,https://deepdao.io/feed-proposal/polkadot_636f756e-00000174,https://deepdao.io/user/1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL/verified_dao_experience
6,dba63a16-56b9-436c-8cbd-46affad110d2,SNAPSHOT,Will your contract be signed with ethsign?,,0xd8c06c7ba09df515ad1f6a86ba3d567c46478927,2022-06-06T07:05:18.000Z,0xb7325d42461c94954a78190a2ec9225dc6e12f3bff41a71f9d1e1bc0df7e60b8,2022-12-31T04:00:00.000Z,ACTIVE,5,"{""YES"":""["",""NO"":""2""}",https://deepdao.io/feed-proposal/0xb7325d42461c94954a78190a2ec9225dc6e12f3bff41a71f9d1e1bc0df7e60b8,https://deepdao.io/user/0xd8c06c7ba09df515ad1f6a86ba3d567c46478927/verified_dao_experience
7,d5c2a587-c59b-4d4d-8f22-f912f40936d6,SNAPSHOT,2022年12月底生猪价格,,0x1ce60f87af2607e84ee245eb85034ee267fc447a,2022-11-22T03:07:27.000Z,0xfd14750a25a68a76fdb8b52071b7a7d7b4cfefb95037e6e91fb48386778f7022,2022-12-15T04:00:00.000Z,ACTIVE,5,"{""10-12元（人民币）"":""["",""13-15元"":""2"",""15元以上"":"",""}",https://deepdao.io/feed-proposal/0xfd14750a25a68a76fdb8b52071b7a7d7b4cfefb95037e6e91fb48386778f7022,https://deepdao.io/user/0x1ce60f87af2607e84ee245eb85034ee267fc447a/verified_dao_experience
8,9f6470f9-3bf2-4b8b-be81-f85edabee25c,SNAPSHOT,halo23,Halo2023,0xf4401f59275257dc9f983309c50414f8a4b0f274,2022-10-15T17:44:54.000Z,0x2483ecbd72742a7e0018f5ef1aaae0417ef7d57c48a4dd3088cb3b3fe0d45cd2,2023-11-08T00:00:00.000Z,ACTIVE,5,"{""Wafflessss"":""["",""Foo"":""."",""adsfdasfs"":""0"",""Morbi Blandit Cursus Risus At"":""9"",""Content test"":""2""}",https://deepdao.io/feed-proposal/0x2483ecbd72742a7e0018f5ef1aaae0417ef7d57c48a4dd3088cb3b3fe0d45cd2,https://deepdao.io/user/0xf4401f59275257dc9f983309c50414f8a4b0f274/verified_dao_experience
9,0fdb0f2a-0d23-49a8-a3b7-7cfebb9c8c07,SNAPSHOT,Arb 空投会跟TX数量关联吗？,,0xf945e358d4090668bbfaa75c0f4cdab72220015d,2022-10-01T06:42:28.000Z,0x122072e083f8715b9b7e28a89555f8983d05603956cb37f3301544ff7fab679a,2022-12-04T04:00:00.000Z,ACTIVE,5,"{""会"":""["",""不会"":""5""}",https://deepdao.io/feed-proposal/0x122072e083f8715b9b7e28a89555f8983d05603956cb37f3301544ff7fab679a,https://deepdao.io/user/0xf945e358d4090668bbfaa75c0f4cdab72220015d/verified_dao_experience
